number,symbol,name,conceptid,preflabel_valueid
89,Ac,Actinium,2b91123c-3263-48a5-8abf-55a9a6234665,910ce59c-d5e0-4670-8998-d5192bb00ebc
90,Th,Thorium,1df55246-26a7-4670-aa2b-efde7aff9fa6,d4845a22-97e1-4b60-ac5d-74bdf8a7504c
91,Pa,Protactinium,882336f3-a87d-4902-bb36-437f67a529fb,dc744b3a-f8d3-4c9a-8fdb-6c2ac3aa383a
92,U,Uranium,1441b79e-fed7-4a36-acc5-bb1b60d1976d,02b7d2fa-01a1-436f-880a-cd1207a9bbb1
93,Np,Neptunium,fb28c2e9-7a94-4dc2-af72-7d1a076fe176,228e27d5-6f8b-4903-b62f-bcb1baf12418
94,Pu,Plutonium,ab02482d-e9e0-49ad-aac9-20d51ac99c15,0d2320bb-6415-4328-80a6-821f40cd6f41
95,Am,Americium,edd7c6a0-1eb8-4114-b33c-83b125b77caf,b8eb31df-a6e7-4faf-bed0-05da30cd465d
96,Cm,Curium,f162c061-09a7-4338-8564-84e531bad5e5,c21ab25f-fa4d-40f3-9378-09e3edf951e9
97,Bk,Berkelium,aea93315-18f4-4ee5-9a13-549f27e88c1e,070e4162-b7c3-4258-90a8-e01c3fbad36b
98,Cf,Californium,cf140f56-6a2b-4cfd-9cae-ddc2af1d74a2,a02cf2b1-14aa-4d93-8949-cae9cbdc278a
99,Es,Einsteinium,7d34406f-fa99-4613-a4e7-5bf6ff8322c8,65a36172-d15e-4be3-8376-206710d0ab23
100,Fm,Fermium,d7352ca3-5f0d-4c55-95f5-59eb4a8e65aa,860238eb-92da-4a24-a084-8c08eddcce7d
101,Md,Mendelevium,1d62fff7-c49d-4f8e-9f0d-32a9ff063a90,7ef49549-61c2-4102-a909-bb114eca55e0
102,No,Nobelium,0b6d8038-8207-4a1a-900b-bf0fc55aca79,17b984fd-be39-49bd-89a3-e7a4b4ad07db
103,Lr,Lawrencium,299de067-b416-4778-b01c-a8efbb51d36b,1399edf2-d1ba-465d-8fe8-9ccd38595375
104,Rf,Rutherfordium,4b4478ab-03e4-40b4-9cdc-e1a5c63f5aa8,a9d067dc-e1e5-469c-9232-e2e610d029b0
105,Db,Dubnium,12868967-09d9-4ffa-8127-6103936bd27f,686f767f-4c12-41bf-b801-f0de20da6236
106,Sg,Seaborgium,64fec2d2-89dd-43e8-985d-3b380ad69186,7163f716-e51d-4e81-9705-b00adedb2bd9
107,Bh,Bohrium,787614aa-a6b5-467d-8fc8-40aeea66a2d5,cfdefb96-28ea-4f2e-b02d-d929d09054b0
108,Hs,Hassium,fbdb5700-5af7-4bab-babb-94e57bfb7fda,2ed5b06a-0623-43bb-8cce-ee43c2716bc2
109,Mt,Meitnerium,96e707d2-c133-4f2b-ab79-311d4345657b,da8e3fd4-5dc6-4632-8203-6e0b1d5b3a36
110,Ds,Darmstadtium,c939adea-2e59-461e-b3a9-73fd0ac2636f,0e971386-e633-4e70-afa3-920377914df1
111,Rg,Roentgenium,7f0239ab-5241-44e2-b295-537e51a80c52,5f3e3be8-3859-4de3-9fc0-7934758b1012
112,Cn,Copernicium,2480537d-2dee-4ebe-8dad-fec0c8bb04a4,7133cf2b-24a1-4394-8c21-4a98d5f2265f
113,Nh,Nihonium,b32661b5-dba0-4de6-908c-d0104e3b3f94,a2efb7b9-0264-4fb3-8d27-785101dffa3c
114,Fl,Flerovium,fa1e1e2e-0d45-4453-b874-8a459715685d,7b0c3f74-f2bb-445a-8683-497a28dd37d7
115,Mc,Moscovium,98e0163b-7e26-4d1b-9b2e-1c5f289b5ea0,61605ce8-514f-4a8c-928b-6ea154192ab5
116,Lv,Livermorium,6bf01a01-4055-417a-b814-5a8051125697,7a462a7a-388c-467f-8011-bbf291378c8b
117,Ts,Tennessine,15d1dcd4-054f-44ab-b64e-75e659513d80,dfa3b642-5fa7-4736-9d98-ef6e96413b26
118,Og,Oganesson,21200099-3708-41ce-b16b-3c81e0a4f8a0,67889650-163f-428c-94b9-d8c321a4832e
