resourceinstanceid,graphid,graphpublicationid,principaluser_id,type_tileid,type_digital_reference_type,type_nodegroupid,type_digital_source_related_objs,media_uuid
fffe8d88-8549-44c9-9f9d-13c06f28174d,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,37808c98-d18a-474c-9cff-78bed07d1610,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""5e2aa5e3-3c2e-4bc5-9485-fc9746d0c918"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""cc734e4e-bf78-4b81-8bf5-fcdc9d19be80"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",5e2aa5e3-3c2e-4bc5-9485-fc9746d0c918
a13537d8-24cb-45fe-b545-65d809a928f4,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,c7a915f9-9a60-4161-9feb-a2bad8ac96e4,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""2f74b706-c375-4230-81a0-6f6948e80dd3"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""004049f8-b8ae-4cf2-968e-8b50ee4f8baf"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",2f74b706-c375-4230-81a0-6f6948e80dd3
8c677ac1-ca24-4236-b58d-4c2911a09f35,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,3f44da6b-a086-4c72-9410-adb59fea180d,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""d5228d54-3fb3-4e33-b613-0e63ba23f6c2"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""34398f45-6e83-4f27-8c21-7aaebb8654bf"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",d5228d54-3fb3-4e33-b613-0e63ba23f6c2
bbc08ffc-6306-4ac4-830f-f532b18af475,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,0ea93335-a686-446f-a56b-ea1b0ecd7de8,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""e65b0180-957f-4f64-87d4-09b270064b30"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""c825137e-9813-4a08-8b07-690679c279be"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",e65b0180-957f-4f64-87d4-09b270064b30
0a018ed8-3794-4319-a20b-341370c8e5d3,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,e3cc8272-749a-4232-a033-523dc6888197,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""20f13bef-2e07-4d20-acdf-ec06f077a17a"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""c26c431a-21a9-4b65-878f-98451ab1af28"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",20f13bef-2e07-4d20-acdf-ec06f077a17a
942b026f-16d5-497a-9b18-78d6c2c9f41a,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,9a7a44c6-1f83-40ce-9747-2c10f999cbcf,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""7b875290-746a-4a94-b394-5c163d98a6cb"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""8d8d882f-7391-4197-8545-4ffc8a73fbf7"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",7b875290-746a-4a94-b394-5c163d98a6cb
54dd4499-318c-4071-badf-a3cd09930eb1,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,ec6d70bf-c8e4-4fea-9c31-e84ccfe35be4,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""f8eab37f-b0f2-4831-9c82-94c42018aa81"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""55ce0eb1-a481-44b3-9ff8-7190a9af61ce"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",f8eab37f-b0f2-4831-9c82-94c42018aa81
6a38ae24-f1ab-42f1-a7b4-6044c393945f,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,e4615f4b-2765-45c8-ade8-34ad9aaef577,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""346bf0b9-dfe7-44c4-a363-6f3c0dc4c575"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""f1b3843b-aeab-437b-b5f1-5f6fedab2304"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",346bf0b9-dfe7-44c4-a363-6f3c0dc4c575
4d208a2b-01e3-4ae6-ac84-63e7de9602cf,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,d66254b0-040e-4a5e-8d30-4812ee8593be,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""fbf72a0e-e2d7-4196-b81e-b76e43e175f4"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""85a28efe-fdb4-4e11-baae-e7dddbb0b221"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",fbf72a0e-e2d7-4196-b81e-b76e43e175f4
d78688ed-02c4-4b7c-b302-061cc1fe578a,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,1cc673fe-fae2-4b72-901b-970902abd68d,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""94d98d33-1205-46d5-8766-5d94ee6c1d10"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""66e92c42-3cd0-40f5-95e1-645ed263266f"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",94d98d33-1205-46d5-8766-5d94ee6c1d10
05683c12-c53d-49de-86dc-f477e8ae9b10,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,b04f5b8d-97e7-4f7b-bd1f-2ff5867a9798,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""6e617e64-4f18-445e-9bae-a0b50fde065c"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""cf8bfb3c-1198-4b3f-bbe3-3c6ac931b1fc"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",6e617e64-4f18-445e-9bae-a0b50fde065c
921caf82-b403-405a-8728-5edbbf5fe27f,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,2e3dcfde-3002-4f72-9a3a-4f664f1cb1ad,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""a9ef923c-9f88-495a-937c-bbe242f57109"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""99617ae3-7c21-479f-b198-ffee275c278b"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",a9ef923c-9f88-495a-937c-bbe242f57109
40c415fc-3f05-4cc7-9842-2fb24a535834,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,8f04cbd0-3e84-44cf-b41e-3a53a1888c7c,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""518568cf-e8ff-45e8-9a9d-f2161e88650c"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""90ec5a88-cee7-432b-81fb-3a6dfe015e7f"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",518568cf-e8ff-45e8-9a9d-f2161e88650c
b0103a5c-a8ff-4bd6-bbeb-08c1a3682e68,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,57801c74-c08f-4fe4-96ba-a75540484dea,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""a41d10fa-b605-450c-867e-bd5925a2b53b"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""daf7d35f-259e-488b-9298-973f99273985"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",a41d10fa-b605-450c-867e-bd5925a2b53b
19ae9c8f-3a61-4653-8cf2-cdc70b7cf834,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,5ce4b4a6-ac99-4b98-b294-6958b10dec79,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""7d8d8e34-b22b-4544-a222-9d6093cf3ec5"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""4813eaae-458c-4785-8631-9b496a486fb6"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",7d8d8e34-b22b-4544-a222-9d6093cf3ec5
039a0e91-630f-4713-b115-ec00e9d95e81,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,e9a669ac-35fc-42e8-8bb5-76d26ab7d9f2,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""c51069c6-75c5-4cb4-9ba3-f829f677cf26"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""78cba504-f99c-4651-8dca-a79d46aff23f"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",c51069c6-75c5-4cb4-9ba3-f829f677cf26
9b8c6741-ee0d-4025-ad38-fcdf93df1f9b,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,c5faefd4-a510-4bd6-9e8b-b604b6c33502,d472136d-a3da-4d6e-b386-ee13aff400d3,8a4ad932-8d59-11eb-a9c4-faffc265b501,"[{""resourceId"": ""f2feaba8-d00b-4459-bdde-a82f81ffa8d8"", ""ontologyProperty"": ""be3f33e9-216d-4355-8766-aced1e95616c"", ""resourceXresourceId"": ""f9986432-c308-4abb-b35c-6f20620b48bd"", ""inverseOntologyProperty"": ""ff6a0510-6c91-4c45-8c67-dbbcf8d7d7fa""}]",f2feaba8-d00b-4459-bdde-a82f81ffa8d8
