resourceinstanceid,graphid,graphpublicationid,principaluser_id,prod_tileid,prod_nodegroupid,prod_stmt_tileid,prod_stmt_production_statement_content,prod_stmt_production_statement_type,prod_stmt_production_statement_language,prod_stmt_nodegroupid,prod_time_tileid,prod_time_production_time_edtf,prod_time_nodegroupid
00865f7d-3486-41c3-9f2a-107de625b3a2,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,322b376a-daf7-49ef-ac09-fabefcdc7981,cc15650c-b497-11e9-a64d-a4d18cec433a,f2638799-5237-49fe-ac26-de83bbc70274,"{""en"": {""value"": ""Investigators inferred the time of production for this pottery based on stratigraphic evidence as well as stylistic / typological features."", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea"", ""df8e4cf6-9b0b-472f-8986-83d5b2ca28a0""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6c1d4051-bee9-11e9-a4d2-a4d18cec433a,3304401d-6d93-4c9a-b66d-768445a662ed,-1150/-1040,cc15718f-b497-11e9-a9e8-a4d18cec433a
dba81c74-0e23-4033-baa6-30a6c48eae91,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,a329065a-1dbc-4bf8-9363-cc5c4510dcd6,cc15650c-b497-11e9-a64d-a4d18cec433a,70a95ae1-a7f2-40a5-80fc-bf1f7453f91d,"{""en"": {""value"": ""Investigators inferred the time of production for this pottery based on stratigraphic evidence as well as stylistic / typological features."", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea"", ""df8e4cf6-9b0b-472f-8986-83d5b2ca28a0""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6c1d4051-bee9-11e9-a4d2-a4d18cec433a,4f85bbe6-516a-4493-8da2-693623255e65,-1150/-1040,cc15718f-b497-11e9-a9e8-a4d18cec433a
145481e7-2962-4c3f-946c-f66e9b6acaab,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,c1233cfd-ce12-48db-ad13-86db30982440,cc15650c-b497-11e9-a64d-a4d18cec433a,abe77cfe-2016-4742-82d1-58c818b6bddb,"{""en"": {""value"": ""Investigators inferred the time of production for this pottery based on stratigraphic evidence as well as stylistic / typological features."", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea"", ""df8e4cf6-9b0b-472f-8986-83d5b2ca28a0""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6c1d4051-bee9-11e9-a4d2-a4d18cec433a,6894ecf1-b889-4fc3-8cc4-51b83ab2a99e,-1190/-1150,cc15718f-b497-11e9-a9e8-a4d18cec433a
b89efa11-76c3-45ba-bf2f-873c540190c7,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,143d85cc-1006-49e2-80d9-0902a45f7619,cc15650c-b497-11e9-a64d-a4d18cec433a,48845776-c782-4b80-b686-0576ffbb0953,"{""en"": {""value"": ""Investigators inferred the time of production for this pottery based on stratigraphic evidence as well as stylistic / typological features."", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea"", ""df8e4cf6-9b0b-472f-8986-83d5b2ca28a0""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6c1d4051-bee9-11e9-a4d2-a4d18cec433a,a4887eed-5ff6-41ae-8180-8ab35dbb9542,-1150/-1040,cc15718f-b497-11e9-a9e8-a4d18cec433a
a5da52ef-7988-4e99-9fe5-dc4ed4b61db3,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,b4a09cd9-6d63-4ab9-b196-8d5477362e81,cc15650c-b497-11e9-a64d-a4d18cec433a,56d8aec4-4764-4481-9434-b360cb18cf5e,"{""en"": {""value"": ""Investigators inferred the time of production for this pottery based on stratigraphic evidence as well as stylistic / typological features."", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea"", ""df8e4cf6-9b0b-472f-8986-83d5b2ca28a0""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6c1d4051-bee9-11e9-a4d2-a4d18cec433a,a7d643ed-2983-4da7-b628-aa9f1a55aca8,-1150/-1040,cc15718f-b497-11e9-a9e8-a4d18cec433a
219d71ec-b032-46c8-971c-f73aac0381a3,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,416eaab2-8ea6-4b81-b4cf-51240d184419,cc15650c-b497-11e9-a64d-a4d18cec433a,67f03651-466f-48db-9308-509279971c39,"{""en"": {""value"": ""Investigators inferred the time of production for this pottery based on stratigraphic evidence as well as stylistic / typological features."", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea"", ""df8e4cf6-9b0b-472f-8986-83d5b2ca28a0""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6c1d4051-bee9-11e9-a4d2-a4d18cec433a,84d05a21-9ad4-4c59-9085-11ea2b07d5c9,-1190/-1150,cc15718f-b497-11e9-a9e8-a4d18cec433a
31da131e-2061-4cfd-a153-20fbca147dc1,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,1be3277c-d34e-4a03-b8b8-99d75103aac5,cc15650c-b497-11e9-a64d-a4d18cec433a,9fcfad02-a4e8-4cef-99fe-95f7f8bc44d8,"{""en"": {""value"": ""Investigators inferred the time of production for this pottery based on stratigraphic evidence as well as stylistic / typological features."", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea"", ""df8e4cf6-9b0b-472f-8986-83d5b2ca28a0""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6c1d4051-bee9-11e9-a4d2-a4d18cec433a,c90b466d-62ef-465d-a57b-5417a4557e23,-1070/-900,cc15718f-b497-11e9-a9e8-a4d18cec433a
b0ff93db-9b7b-4163-8196-99c418734512,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,b6508c24-e097-45d3-9da7-2e2866daba73,cc15650c-b497-11e9-a64d-a4d18cec433a,efc201d7-f0e4-413b-891b-1cbd442dcccb,"{""en"": {""value"": ""Investigators inferred the time of production for this pottery based on stratigraphic evidence as well as stylistic / typological features."", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea"", ""df8e4cf6-9b0b-472f-8986-83d5b2ca28a0""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6c1d4051-bee9-11e9-a4d2-a4d18cec433a,b9c8a61a-20d9-47fa-ba16-f0412a489e64,-1070/-750,cc15718f-b497-11e9-a9e8-a4d18cec433a
5f622339-3094-469b-a34d-f711287453c4,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,396e302e-23a5-45b0-ad32-3a56d52051b8,cc15650c-b497-11e9-a64d-a4d18cec433a,3642cfb2-145b-44d7-821f-458dd3aa8534,"{""en"": {""value"": ""Investigators inferred the time of production for this pottery based on stratigraphic evidence as well as stylistic / typological features."", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea"", ""df8e4cf6-9b0b-472f-8986-83d5b2ca28a0""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6c1d4051-bee9-11e9-a4d2-a4d18cec433a,a99ebf5b-e17c-458f-b53e-f0d69fedf27e,-750/-650,cc15718f-b497-11e9-a9e8-a4d18cec433a
c93e89c8-220f-494c-b66a-1b0eb7e8e348,9519cb4f-b25b-11e9-8c7b-a4d18cec433a,8316a878-4c8f-11f0-be9e-020539808477,1,accbe52a-3942-4784-867f-2cc266381d84,cc15650c-b497-11e9-a64d-a4d18cec433a,ab152677-222b-455b-b419-e8bfbec8baf5,"{""en"": {""value"": ""Investigators inferred the time of production for this pottery based on stratigraphic evidence as well as stylistic / typological features."", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea"", ""df8e4cf6-9b0b-472f-8986-83d5b2ca28a0""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6c1d4051-bee9-11e9-a4d2-a4d18cec433a,a9e138ec-42cf-4477-8c2f-3549507590e3,-750/-650,cc15718f-b497-11e9-a9e8-a4d18cec433a
