item_uuid,label,uri,thumbnail,afs_filename,media_uuid,media_label,media_uri,media_ark,media_type_afs_uuid,file_id,filesize
00865f7d-3486-41c3-9f2a-107de625b3a2,AIA 1020,http://opencontext.org/subjects/00865f7d-3486-41c3-9f2a-107de625b3a2,https://artiraq.org/static/opencontext/troy-naa-samples/thumbs/AIA-1020I.jpg,troy-naa-samples-AIA-1020I.jpg,981da867-3b07-4a33-8a8e-10213cf18ae2,Photo AIA-1020I,https://opencontext.org/media/981da867-3b07-4a33-8a8e-10213cf18ae2,https://n2t.net/ark:/28722/k2dr37q3t,"[""d472136d-a3da-4d6e-b386-ee13aff400d3""]",4adf606a-1397-4a21-81bb-9d27c253cf8c,245236
dba81c74-0e23-4033-baa6-30a6c48eae91,AIA 1021,http://opencontext.org/subjects/dba81c74-0e23-4033-baa6-30a6c48eae91,https://artiraq.org/static/opencontext/troy-naa-samples/thumbs/AIA-1021.jpg,troy-naa-samples-AIA-1021.jpg,ce2f78cb-67f3-4a9d-9a14-2c4b27c51056,Photo AIA-1021,https://opencontext.org/media/ce2f78cb-67f3-4a9d-9a14-2c4b27c51056,https://n2t.net/ark:/28722/k28w3th8q,"[""d472136d-a3da-4d6e-b386-ee13aff400d3""]",48a48a94-9e7a-49ad-bf9e-fdf16c104b36,419048
145481e7-2962-4c3f-946c-f66e9b6acaab,AIA 1022,http://opencontext.org/subjects/145481e7-2962-4c3f-946c-f66e9b6acaab,https://artiraq.org/static/opencontext/troy-naa-samples/thumbs/AIA-1022E.jpg,troy-naa-samples-AIA-1022E.jpg,341ee326-bca8-4598-9e47-a1c4527c9dbf,Photo AIA-1022E,https://opencontext.org/media/341ee326-bca8-4598-9e47-a1c4527c9dbf,https://n2t.net/ark:/28722/k2dn4jb3z,"[""d472136d-a3da-4d6e-b386-ee13aff400d3""]",0dd1e430-1d9e-4526-b8cd-4b416af10a46,218230
b89efa11-76c3-45ba-bf2f-873c540190c7,AIA 1023,http://opencontext.org/subjects/b89efa11-76c3-45ba-bf2f-873c540190c7,https://artiraq.org/static/opencontext/troy-naa-samples/thumbs/AIA-1023E.jpg,troy-naa-samples-AIA-1023E.jpg,a6485ed4-5bb6-475e-b1b3-bbb8a689bcaf,Photo AIA-1023E,https://opencontext.org/media/a6485ed4-5bb6-475e-b1b3-bbb8a689bcaf,https://n2t.net/ark:/28722/k2p55zz0k,"[""d472136d-a3da-4d6e-b386-ee13aff400d3""]",7ff02755-b22c-4199-a02f-b882e4f51c6b,210564
a5da52ef-7988-4e99-9fe5-dc4ed4b61db3,AIA 1024,http://opencontext.org/subjects/a5da52ef-7988-4e99-9fe5-dc4ed4b61db3,https://artiraq.org/static/opencontext/troy-naa-samples/thumbs/AIA-1024E.jpg,troy-naa-samples-AIA-1024E.jpg,6d5ee515-6a2d-4c05-a859-e446a7c1032e,Photo AIA-1024E,https://opencontext.org/media/6d5ee515-6a2d-4c05-a859-e446a7c1032e,https://n2t.net/ark:/28722/k2xp7dj8j,"[""d472136d-a3da-4d6e-b386-ee13aff400d3""]",2254b6ad-44f3-40ca-bd4d-6d411054f8a5,204136
219d71ec-b032-46c8-971c-f73aac0381a3,AIA 1025,http://opencontext.org/subjects/219d71ec-b032-46c8-971c-f73aac0381a3,https://artiraq.org/static/opencontext/troy-naa-samples/thumbs/AIA-1025E.jpg,troy-naa-samples-AIA-1025E.jpg,1b9effa3-8f79-40ce-8bf5-3e2fe8bfe6dc,Photo AIA-1025E,https://opencontext.org/media/1b9effa3-8f79-40ce-8bf5-3e2fe8bfe6dc,https://n2t.net/ark:/28722/k26404m4h,"[""d472136d-a3da-4d6e-b386-ee13aff400d3""]",d8108999-8b9b-446e-8217-013802d17f87,205683
31da131e-2061-4cfd-a153-20fbca147dc1,AIA 1026,http://opencontext.org/subjects/31da131e-2061-4cfd-a153-20fbca147dc1,https://artiraq.org/static/opencontext/troy-naa-samples/thumbs/AIA-1026E.jpg,troy-naa-samples-AIA-1026E.jpg,fcbb5c7a-7bbe-49e1-b942-b9107c927988,Photo AIA-1026E,https://opencontext.org/media/fcbb5c7a-7bbe-49e1-b942-b9107c927988,https://n2t.net/ark:/28722/k2fn1k72q,"[""d472136d-a3da-4d6e-b386-ee13aff400d3""]",7d094354-8dd3-4160-aa25-560a98326957,235640
b0ff93db-9b7b-4163-8196-99c418734512,AIA 1027,http://opencontext.org/subjects/b0ff93db-9b7b-4163-8196-99c418734512,https://artiraq.org/static/opencontext/troy-naa-samples/thumbs/AIA-1027E.jpg,troy-naa-samples-AIA-1027E.jpg,a2602446-11e5-4cfc-b231-0a222f7875cb,Photo AIA-1027E,https://opencontext.org/media/a2602446-11e5-4cfc-b231-0a222f7875cb,https://n2t.net/ark:/28722/k2q530t93,"[""d472136d-a3da-4d6e-b386-ee13aff400d3""]",6432ee23-6853-4e0f-b226-f338de1edf76,235965
5f622339-3094-469b-a34d-f711287453c4,AIA 1028,http://opencontext.org/subjects/5f622339-3094-469b-a34d-f711287453c4,https://artiraq.org/static/opencontext/troy-naa-samples/thumbs/AIA-1028E.jpg,troy-naa-samples-AIA-1028E.jpg,dd388445-8eab-4ad3-9b27-2e41e95cc779,Photo AIA-1028E,https://opencontext.org/media/dd388445-8eab-4ad3-9b27-2e41e95cc779,https://n2t.net/ark:/28722/k2zk5r240,"[""d472136d-a3da-4d6e-b386-ee13aff400d3""]",6cb6db32-7ded-4d4a-b5ae-5a8bacd160e7,270645
c93e89c8-220f-494c-b66a-1b0eb7e8e348,AIA 1029,http://opencontext.org/subjects/c93e89c8-220f-494c-b66a-1b0eb7e8e348,https://artiraq.org/static/opencontext/troy-naa-samples/thumbs/AIA-1029E.jpg,troy-naa-samples-AIA-1029E.jpg,0a6165d6-6fde-452d-aed2-5511bd72ac2a,Photo AIA-1029E,https://opencontext.org/media/0a6165d6-6fde-452d-aed2-5511bd72ac2a,https://n2t.net/ark:/28722/k27375h5p,"[""d472136d-a3da-4d6e-b386-ee13aff400d3""]",ae1452f9-47bc-4882-8ab3-d8f0af5c604e,298832
